编号 病种分类 病证名 中医症状 中医证型 状态要素 中药 经方
54 X心系病证 心烦 心烦,干呕,泄泻,肠鸣,腹胀 中虚湿热痞重证 胃,肠,心,湿,热,气虚 炙甘草,黄芩,半夏,大枣,黄连,干姜,人参 甘草泻心汤
55 X心系病证 心烦 心烦,泄泻,口渴,昏昏沉沉 少阴寒证 心,肾,阳虚 炙甘草,干姜,附子 四逆汤
56 X心系病证 心烦 心烦,泄泻,咽痛,胸满,手足热 阴虚内热证 心,肠,肾,阴虚 猪肤 猪肤汤
57 X心系病证 心烦 心烦,口渴,干呕,小便不利 虚热水气证 心,肾,阴虚,膀胱,湿 猪苓,茯苓,泽泻,阿胶,滑石 猪苓汤
58 X心系病证 心烦 心烦,失眠,起卧不安 心肾虚热证 肾,阴虚,心,阳亢 黄连,黄芩,芍药,鸡子黄,阿胶 黄连阿胶汤
59 X心系病证 心悸 心悸,脐下悸,有气上冲心胸 肾虚水气证 心,阳虚,肾,气逆 茯苓,桂枝,白术,甘草 茯苓桂枝甘草大枣汤
60 X心系病证 心悸 心悸,有气上冲心胸 肾寒气逆证 心,肾,阳虚,少腹,寒,气逆 桂枝,芍药,炙甘草,生姜,大枣 桂枝加桂汤
61 X心系病证 心悸 心悸,心烦,脉弱 心气血虚证 心,脾,阳虚,气虚,血虚,外风,寒,表 桂枝,炙甘草,芍药,生姜,大枣,胶饴 小建中汤
62 X心系病证 心悸 心悸,汗出,胸腹喜按 心阳虚悸证 心,阳虚 桂枝,炙甘草 桂枝甘草汤
63 X心系病证 心悸 心悸,发热,头晕,目眩,身体颤动 阳虚水泛证 肾,心神,阳虚,寒 茯苓,芍药,生姜,白术,炮附子 真武汤
64 X心系病证 心悸 心悸,心烦,口苦 胆热气郁证 心,半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
65 X心系病证 心悸 心悸,手足冷,泄泻 阳郁水气证 寒,阳郁,胃,肠,心 茯苓,桂枝,炙甘草,生姜 茯苓甘草汤
66 X心系病证 心悸 心悸,脉结代 心阴阳气血虚证 心,阴虚,阳虚,气虚,血虚 炙甘草,生姜,人参,生地黄,桂枝,阿胶,麦门冬,麻仁,大枣 炙甘草汤
67 X心系病证 心悸 心悸,身重,气短,脉弱 心气虚证 心,外风,寒,湿,气虚,阳虚 桂枝,炙甘草,芍药,生姜,大枣,胶饴 小建中汤
68 X心系病证 胸痹心痛 心痛,身热,心烦 热扰胸膈证 热,胸膈 栀子,香豉 栀子豉汤
