编号 病种分类 病证名 中医症状 中医证型 状态要素 中药 经方
327 Z内科杂病 头痛 头痛,发热,无汗,脉沉 少阴阳虚兼表证 热,外风,寒,表 麻黄,细辛,炮附子 麻黄细辛附子汤
328 Z内科杂病 虚劳 气短,脉浮 太阳病证 外风,寒,表,肺 桂枝,芍药,麻黄,炙甘草,大枣,生姜,石膏 桂枝二越婢一汤
329 Z内科杂病 虚劳 气短,胸痛,腹痛,心烦,心胸懊恼 实热结胸证 外风,寒,饮,热,表,胸膈,肺,心神,湿 大黄,芒硝,甘遂 大陷胸汤
330 Z内科杂病 虚劳 气短,胁下痛,干呕 悬饮证 外风,寒,表,饮,胸膈,胃,肺 芫花,甘遂,大戟,大枣 十枣汤
331 Z内科杂病 虚劳 气短,骨节疼痛,心烦,汗出 阳虚骨痹证 外风,寒,湿,关节,肺,心神 桂枝,炮附子,生姜,大枣,炙甘草 桂枝附子汤
332 Z内科杂病 虚劳 少气,心胸懊恼,起卧不安,身热 热扰胸膈证 热,胸膈,心神,阳虚,肺 栀子,香豉,炙甘草 栀子甘草豉汤
333 Z内科杂病 虚劳 少气,目眩,身重,四肢屈伸不利 肾中浊邪阴阳易证 毒,湿,肾,肺 妇人中裈近隐处剪烧作灰 烧裈散
334 Z内科杂病 眩晕 头晕目眩,有气上冲心胸,腹胀,脉沉紧,身体颤动 气虚水气证 脾,阳虚,饮,气逆 茯苓,桂枝,白术,甘草 茯苓桂枝白术甘草汤
335 Z内科杂病 眩晕 头晕目眩,心悸,发热,头晕,目眩,身体颤动 阳虚水泛证 肾,阳虚,饮,寒 茯苓,芍药,生姜,白术,炮附子 真武汤
336 Z内科杂病 眩晕 头晕目眩,泄泻,昏昏沉沉 阴竭阳脱证 心,肾,肠,亡阴,亡阳 炙甘草,干姜,附子 通脉四逆汤
337 Z内科杂病 眩晕 头晕目眩,泄泻 阳虚戴阳证 肾,肠,阳虚,阳浮 葱白,干姜,附子 白通汤
338 Z内科杂病 眩晕 头晕目眩,骨节疼痛,大便干硬,心烦,不呕,不渴 阳虚肌痹证 外风,寒,湿,燥屎,心神,关节 桂枝,炮附子,生姜,大枣,炙甘草 桂枝附子汤
339 Z内科杂病 血证 便脓血,发热,泄泻 阳明血利证 热,毒,肠 半夏,黄芩,人参,干姜,甘草,黄连,大枣 半夏泻心汤
340 Z内科杂病 血证 便脓血,腹痛,小便不利,泄泻 阳虚滑脱证 脾,肾,膀胱,肠,阳虚,气虚,动血 赤石脂,干姜,粳米 桃花汤
341 Z内科杂病 血证 便脓血,胸胁满,手足冷,呕吐,心烦,不欲食 肝热厥逆证 热,寒,胃,心神,食积,阳郁 柴胡,枳实,芍药,炙甘草 四逆散
342 Z内科杂病 血证 便脓血,身热,小便不利 膀胱病证 热,膀胱,经络 桃仁,大黄,桂枝,炙甘草,芒硝 桃核承气汤
343 Z内科杂病 血证 便脓血,咽喉疼痛 阳化为热证 热,毒,咽 半夏,黄芩,人参,干姜,甘草,黄连,大枣 半夏泻心汤
344 Z内科杂病 郁证 烦躁,失眠,汗出,发热,不呕,不渴 肾阳虚烦躁证 阳浮,心神 干姜,附子 干姜附子汤
345 Z内科杂病 郁证 烦躁,脉弱 肾阴阳俱虚证 阴虚,阳虚,心神 茯苓,人参,附子,炙甘草,干姜 茯苓四逆汤
346 Z内科杂病 郁证 烦躁,口渴 胃热津伤证 饮,热,燥,津亏,膀胱,胃,心神 竹叶,石膏,半夏,麦门冬,人参,炙甘草,粳米 竹叶石膏汤
347 Z内科杂病 郁证 烦躁,心悸 心阳虚烦躁证 心神,阳虚 桂枝,炙甘草,牡蛎,龙骨 桂枝甘草龙骨牡蛎汤
348 Z内科杂病 郁证 烦躁,腹痛 阳明热结重证 热,燥屎,胃,肠,心神 大黄,厚朴,枳实,芒硝 大承气汤
349 Z内科杂病 郁证 烦躁,胸胁满,呕吐,不欲食 肝热厥逆证 半表半里,胆,热,气滞,心神 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
350 Z内科杂病 郁证 烦躁,口干,腹胀,汗出,身重 阳明热郁证 胃,胸膈,热,湿,心神 栀子,香豉 栀子豉汤
351 Z内科杂病 郁证 烦躁,脉微,手足冷 阴盛阳绝证 阳浮,心神 炙甘草,干姜,附子 四逆汤
352 Z内科杂病 谵语 谵语,四肢冷,大便干,脉弱 阳明热结缓证 胃,热,燥屎,寒,心神 大黄,芒硝,炙甘草 调胃承气汤
353 Z内科杂病 谵语 谵语,心烦,小便不利,胸满,身重 少阴心热证 半表半里,膀胱,湿,热,心神 柴胡,龙骨,黄芩,生姜,铅丹,人参,桂枝,茯苓,半夏,大黄,牡蛎,大枣 柴胡加龙骨牡蛎汤
354 Z内科杂病 谵语 谵语,小便不利,呕吐 阳明胃热证 胃,膀胱,热,燥,津亏,阳亢,阳虚,气虚,心神 知母,石膏,甘草,粳米 白虎汤
355 Z内科杂病 谵语 谵语,不大便,身体枯燥不荣,手足躁扰不宁 气血两燔证 热,毒,阴虚,津亏,燥屎,心神,肌肤 知母,石膏,甘草,粳米 白虎汤
356 Z内科杂病 谵语 谵语,腹满,发热 阳明热结重证 热,燥屎,胃,肠,亡阴,心神 大黄,厚朴,枳实,芒硝 大承气汤
357 Z内科杂病 谵语 谵语,潮热,汗出,大便干 阳明热结轻证 热,燥屎,胃,肠,心神 大黄,厚朴,枳实 小承气汤
358 Z内科杂病 谵语 谵语,口干,腹胀,汗出,身重 阳明热郁证 胃,胸膈,热,湿,心神 栀子,香豉 栀子豉汤
