编号 病种分类 病证名 中医症状 中医证型 状态要素
157 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,嗳气 中虚痰饮证 胃,气虚,痰,饮,气逆 
158 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,泄泻,脉浮 脾胃虚寒证 脾,胃,阳虚,气虚,外风,寒,表 
159 P脾胃系病证 心下疾(胃脘疾) 胃胀,有气上冲心胸,头晕,目眩,脉沉紧,身体颤动 脾胃气虚水停证 脾,胃,阳虚,饮,气逆 
160 P脾胃系病证 心下疾(胃脘疾) 胃胀,大便干,口苦,咽干,脉细 胆热气郁证 半表半里,胆,热,气滞 
161 P脾胃系病证 心下疾(胃脘疾) 胃胀,手足冷,心烦,饥不欲食 胸中痰实证 痰,饮,食积,胸膈,胃 
162 P脾胃系病证 心下疾(胃脘疾) 胃胀,小便不利,发热,无汗 脾胃水气证 饮,阳郁,脾,胃,膀胱 
163 P脾胃系病证 心下疾(胃脘疾) 胃胀,恶心,呕吐,泄泻,肠鸣 中焦寒热错杂证 半表半里,胸膈,饮,热,脾,胃,气虚
164 P脾胃系病证 厌食 饥不欲食,头汗出,心烦,手足热 阳明热郁证 热,胸膈,心神,食积,胃 
165 P脾胃系病证 厌食 饥不欲食,手足冷,心烦,腹胀 痰阻胸膈证 痰,饮,食积,胸膈,胃 
166 P脾胃系病证 厌食 厌食,手足冷,不欲食,心烦 肝热厥逆证 热,阳郁,气滞,胃,食积,心神 
167 P脾胃系病证 厌食 厌食,胁下满,身黄,小便不利 脾胃虚寒证 脾,胃,食积,阳虚,湿,外风,寒,表,湿
168 P脾胃系病证 厌食 厌食,口苦,咽干,目眩 少阳胆热证 半表半里,胆,食积,热,气滞 
169 P脾胃系病证 厌食 厌食,手足汗出,小便不利,大便先干后稀 虚寒痼瘕证 胃,食积,阳虚 
170 P脾胃系病证 厌食 厌食,汗出,饥不欲食,脉细数 脾胃阴虚证 脾,胃,食积,阴虚 
171 P脾胃系病证 易食 消谷易食,呕吐,舌红,苔黄,脉数 胃实热证 胃,阳虚
172 P脾胃系病证 易食 消谷易食,发热,不大便,舌暗 瘀血善饥证 血瘀,热,胃,肠 
173 G肝胆系病证 身黄 手足抽搐,小便不利 火毒发黄证 热,毒,经络,膀胱 
174 G肝胆系病证 身黄 身黄,身体枯燥不荣 气血两燔证 热,毒,阴虚,津亏 
175 G肝胆系病证 身黄 身黄,头汗出,小便不利 湿热黄疸证 外风,寒,湿,热,半表半里,胸膈,肝,胆,湿 
176 G肝胆系病证 身黄 身黄,不欲食,胁下满痛 脾胃虚寒证 脾,胃,阳虚,湿,寒 
177 G肝胆系病证 身黄 身黄,发热,怕冷,身黄 湿热郁瘀发黄证 湿,热,外风,寒,半表半里 
178 G肝胆系病证 胁疾 口苦,咽干,目眩 胆热气郁证 半表半里,胆,热,气滞 
179 G肝胆系病证 胁疾 胁痛,泄泻,脉浮 脾胃寒湿证 脾,肠,阳虚,气虚,外风,寒,半表半里 
180 G肝胆系病证 胁疾 胁痛,汗出,头痛,干呕,气短,泄泻 悬饮证 外风,寒,半表半里,饮,胸膈 
181 G肝胆系病证 胁疾 胁下满,身热,怕风,颈项僵硬,口渴 太阳少阳阳明兼证 半表半里,胆,热,气滞 
182 G肝胆系病证 胁疾 胁下满,不大便,干呕,舌苔白 阳明少阳兼证 半表半里,胆,热,气滞 
183 G肝胆系病证 胁疾 胁下满,口苦,咽干,目眩 少阳胆热气郁证 半表半里,胆,热,气滞 
184 G肝胆系病证 胁疾 胁下满,发热,汗出,呕吐,泄泻 阳明少阳兼证 热,胃,肠,半表半里 
185 G肝胆系病证 胁疾 胸胁满,头汗出,小便不利,口渴,心烦 胆热水气证 半表半里,胆,阳郁,气滞,饮,里 
186 G肝胆系病证 胁疾 胸胁满,心烦,干呕,口苦 少阳胆热气郁证 半表半里,胆,热,气滞 
187 G肝胆系病证 胁疾 胸胁满,手足冷,呕吐,心烦,不欲食 厥阴肝热便脓血证 热,阳郁,半表半里 
188 S肾系病证 淋证 小便不利,腹胀,口苦,咽干,目眩 胆热气郁证 半表半里,膀胱,胆,热,气滞 
189 S肾系病证 淋证 小便不利,潮热,谵语,大便干 阳明热结重证 热,燥屎,胃,肠,膀胱 
